entity_id,state,last_changed
sensor.sunvec_potencia_paneles_slave_1,642.0,2025-03-13T07:20:45.521Z
sensor.sunvec_potencia_paneles_slave_1,713.0,2025-03-13T07:21:45.511Z
sensor.sunvec_potencia_paneles_slave_1,728.0,2025-03-13T07:22:45.516Z
sensor.sunvec_potencia_paneles_slave_1,674.0,2025-03-13T07:23:45.526Z
sensor.sunvec_potencia_paneles_slave_1,653.0,2025-03-13T07:24:45.513Z
sensor.sunvec_potencia_paneles_slave_1,625.0,2025-03-13T07:25:45.509Z
sensor.sunvec_potencia_paneles_slave_1,606.0,2025-03-13T07:26:45.534Z
sensor.sunvec_potencia_paneles_slave_1,630.0,2025-03-13T07:27:45.538Z
sensor.sunvec_potencia_paneles_slave_1,618.0,2025-03-13T07:28:45.509Z
sensor.sunvec_potencia_paneles_slave_1,634.0,2025-03-13T07:29:45.513Z
sensor.sunvec_potencia_paneles_slave_1,666.0,2025-03-13T07:30:45.506Z
sensor.sunvec_potencia_paneles_slave_1,693.0,2025-03-13T07:31:45.509Z
sensor.sunvec_potencia_paneles_slave_1,764.0,2025-03-13T07:32:45.501Z
sensor.sunvec_potencia_paneles_slave_1,841.0,2025-03-13T07:33:45.506Z
sensor.sunvec_potencia_paneles_slave_1,1047.0,2025-03-13T07:34:45.500Z
sensor.sunvec_potencia_paneles_slave_1,1202.0,2025-03-13T07:35:45.496Z
sensor.sunvec_potencia_paneles_slave_1,1245.0,2025-03-13T07:36:45.658Z
sensor.sunvec_potencia_paneles_slave_1,1098.0,2025-03-13T07:37:45.504Z
sensor.sunvec_potencia_paneles_slave_1,876.0,2025-03-13T07:38:45.504Z
sensor.sunvec_potencia_paneles_slave_1,869.0,2025-03-13T07:39:45.514Z
sensor.sunvec_potencia_paneles_slave_1,841.0,2025-03-13T07:40:45.508Z
sensor.sunvec_potencia_paneles_slave_1,849.0,2025-03-13T07:41:45.508Z
sensor.sunvec_potencia_paneles_slave_1,790.0,2025-03-13T07:42:45.523Z
sensor.sunvec_potencia_paneles_slave_1,793.0,2025-03-13T07:43:45.491Z
sensor.sunvec_potencia_paneles_slave_1,735.0,2025-03-13T07:44:45.494Z
sensor.sunvec_potencia_paneles_slave_1,413.0,2025-03-13T07:45:45.490Z
sensor.sunvec_potencia_paneles_slave_1,724.0,2025-03-13T07:46:45.497Z
sensor.sunvec_potencia_paneles_slave_1,1164.0,2025-03-13T07:47:45.486Z
sensor.sunvec_potencia_paneles_slave_1,1413.0,2025-03-13T07:48:45.484Z
sensor.sunvec_potencia_paneles_slave_1,1492.0,2025-03-13T07:49:45.510Z
sensor.sunvec_potencia_paneles_slave_1,2013.0,2025-03-13T07:50:45.485Z
sensor.sunvec_potencia_paneles_slave_1,2199.0,2025-03-13T07:51:45.489Z
sensor.sunvec_potencia_paneles_slave_1,2362.0,2025-03-13T07:52:45.484Z
sensor.sunvec_potencia_paneles_slave_1,2432.0,2025-03-13T07:53:45.496Z
sensor.sunvec_potencia_paneles_slave_1,2541.0,2025-03-13T07:54:45.510Z
sensor.sunvec_potencia_paneles_slave_1,2532.0,2025-03-13T07:55:45.477Z
sensor.sunvec_potencia_paneles_slave_1,2611.0,2025-03-13T07:56:45.513Z
sensor.sunvec_potencia_paneles_slave_1,2815.0,2025-03-13T07:57:45.480Z
sensor.sunvec_potencia_paneles_slave_1,3087.0,2025-03-13T07:58:45.473Z
sensor.sunvec_potencia_paneles_slave_1,3104.0,2025-03-13T07:59:45.508Z
sensor.sunvec_potencia_paneles_slave_1,3091.0,2025-03-13T08:00:45.474Z
sensor.sunvec_potencia_paneles_slave_1,3172.0,2025-03-13T08:01:45.479Z
sensor.sunvec_potencia_paneles_slave_1,3194.0,2025-03-13T08:02:45.512Z
sensor.sunvec_potencia_paneles_slave_1,3324.0,2025-03-13T08:03:45.481Z
sensor.sunvec_potencia_paneles_slave_1,3362.0,2025-03-13T08:04:45.466Z
sensor.sunvec_potencia_paneles_slave_1,3413.0,2025-03-13T08:05:45.466Z
sensor.sunvec_potencia_paneles_slave_1,3493.0,2025-03-13T08:06:45.586Z
sensor.sunvec_potencia_paneles_slave_1,3526.0,2025-03-13T08:07:45.467Z
sensor.sunvec_potencia_paneles_slave_1,3566.0,2025-03-13T08:08:45.472Z
sensor.sunvec_potencia_paneles_slave_1,3623.0,2025-03-13T08:09:45.489Z
sensor.sunvec_potencia_paneles_slave_1,3629.0,2025-03-13T08:10:45.479Z
sensor.sunvec_potencia_paneles_slave_1,3647.0,2025-03-13T08:11:45.466Z
